Soruce,Abstract
s,"The article reveals an original approach to the organization of professional-oriented training and retraining of specialists in agrarian universities, which is based on the example of creating syllabuses and curriculum design in cooperation with business companies that are developers of information systems (IS). Cloud computing based IS, which were designed to automate the accounting of production and management processes in agrarian enterprises, allow students to attend training and perform a wide range of production tasks. The authors describe the main stages and results of the implementation of different ERP and CRM cloud computing systems in the training programs for bachelor and master courses in management, marketing, agronomy, as well as methods for organizing various forms of training for practicing professionals from agrarian enterprises. © IMSCI 2020.All right reserved."
s,"Gamification is defined as using game design elements, characteristic for games, in non-game contexts, and it is a process of using game mechanics to engage users and achieve a specific goal. In order to build effective gamification apps (applications) for effective user performance, the objectives of this project is to develop strategic elements for mobile gaming design in providing innovative services. The purpose of this study is mainly to use the Gamification concept to design a mobile gaming app (application) for contextual marketing, and we were integrate digital game design technologies, such as mobile augmented reality (MAR) and global positioning system (GPS). This study was then look at associated consumer value and brand loyalty created by the users after experiencing the mobile game. Accordingly, we define the eight elements of a mobile gamification design, including coping-escape, fantasy, recreation, social, omnipotence, competition, skill development, and location-based. This research model treats ""location-based"" as a formative second-order construct driven by ubiquitous connectivity and contextual offer. Consumer value is also a formative second-order construct driven by utilitarian value, hedonic value and social value. Brand loyalty is a reflective second-order construct driven by continuance intention and word-of-mouth. This study was conduct a quasi-experimental research to verify our model. It is hoped that service managers can benefit from the insights discovered from this study and implement more effective management strategies for effective performance."
s,"This special issue provides new insights into the applications of emerging technologies in e-commerce operations and supply chain management. This editorial note summarizes the discussion on some important topics in operations and supply chain management from the published articles in this special issue, including the value of blockchain technology adoption on supply chains, the impacts of augmented reality advertising on retailing operations, the effects of using advanced information system to improve business performance, and the use of artificial intelligence (AI) for e-commerce sales and marketing. They all shed new light on e-commerce operations and digitalized supply chain management. © 2022 Elsevier B.V."
s,"The present study examined flow theory in the literature and especially in ecommerce contexts: computer and online games, virtual environments, online shopping, interface design, marketing, and management. Designing for a positive user experience has become an equally important goal of interface design in addition to usability. Thus, studying user's flow experience is a valuable undertaken, which will provide insights for human computer interaction and guidance to interface design, including online and mobile applications. An exploratory factor analysis was conducted using Webster et al. (1993) instrument, which was administered to 310 subjects, following their experience navigating an apparel commercial web site. Based on the results of the factor analysis, three dimensions of flow emerged: control, attention focus, and cognitive enjoyment. Implications for contributions and future research are discussed."
s,"The increasing adoption of three-dimensional (3D) virtual reality technologies in business practices requires an interdisciplinary research approach to study their effect. In this paper we investigate the effects of different 3D online store layouts on user perceptions in the e-retailing context. We build on recent research on store atmosphere that classifies store layouts in 3D environments as “avant-garde”, “warehouse”, “pragmatic”, “boutique” and “department”. Reflecting the dual identity of individuals as both consumers visiting virtual stores and users interacting with graphical user interfaces, we employ key constructs from both the marketing and the information systems literature to build our research model. The study measures how Perceived Usefulness, Perceived Ease of Use, Merchandise Quality Perception and Store Perception vary across the distinct store layouts. We employ a laboratory experiment in the apparel industry to test our model. Our results show that the layouts lead to different perceptions, although the consumers’ Shopping Motivation does not moderate this effect. Building on the differences found on store layout effects on user/consumer behavior in the 3D online context, the paper discusses relevant research and practical implications. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature."
s,"The growth in the adoption of smartphones among clinicians has been phenomenal. The demand for medical applications, or ""apps,"" downloaded by smartphone users has led to the development of practical and educational apps for clinicians, medical students, and patients. In addition to being a valuable resource for the clinician, mobile technologies are revolutionizing the nature and delivery of health care services. This article summarizes the current trends in the smartphone market and explores the medical apps that are currently available. © 2012 The American Society for Aesthetic Plastic Surgery, Inc."
s,"LARA project is an innovative combination of different emerging technologies to develop a hand-held and mobile device that integrates state-of-the-art technologies in the domains of mobility, positioning and sensors (Global Navigation Satellite System-GNSS), Augmented Reality (AR) and 3D Geographic Information System (GIS) geo-databases. The vision of the system is to develop a system that simulates an 'X-ray camera' and is able to guide utility field workers to 'see beneath the ground' the buried infrastructures. The system renders, in high accuracy 3D models, all the complexity of the different underground grids (water, gas, sewerage, electricity, etc.) that are stored in the 3D GIS geo-database. The project has a clear intention to commercialize the products and services built therefore a detailed market analysis for the system and the definition of the appropriate business models is required. In order to prepare the commercialization strategy of the final location based and augmented reality assistive system, during the project lifetime, all consortium partners are defining and agreeing the marketing strategy and the collaborative business models that best fit system requirements and needs developed through end user workshops and technical consultations. The project has received funding from the European GNSS Agency (GSA) under the European Union's Horizon 2020 research and innovation program; specifically, grant agreement no. 641460. © 2016 IEEE."
s,"wayGoo2 is a platform for Geolocating and Managing indoor and outdoor spaces and content with multidimensional indoor and outdoor Navigation and Guidance. Its main components are a Geographic Information System, a back-end server, front-end applications and a web-based Content Management System (CMS). It constitutes a fully integrated 2D/3D space and content management system that creates a repository that consists of a database, content components and administrative data. wayGoo can connect to any third party database and event management data-source. The platform is secure as the data is only available through a Restful web service using https security protocol in conjunction with an API key used for authentication. To enhance users experience, wayGoo makes the content available by extracting components out of the repository and constructing targeted applications. The wayGoo platform supports geo-referencing of indoor and outdoor information and use of metadata. It also allows the use of existing information such as maps and databases. The platform enables planning through integration of content that is connected either spatially, temporally or contextually, and provides immediate access to all spatial data through interfaces and interactive 2D and 3D representations. wayGoo constitutes a mean to document and preserve assets through computerized techniques and provides a system that enhances the protection of your space, people and guests when combined with wayGoo notification and alert system. It constitutes a strong marketing tool providing staff and visitors with an immersive tool for navigation in indoor spaces and allowing users to organize their agenda and to discover events through wayGoo event scheduler and recommendation system. Furthermore, the wayGoo platform can be used in Security applications and event management, e.g. CBRNE incidents, man-made and natural disasters, etc., to document and geolocate information and sensor data (off line and real time) on one end, and offer navigation capabilities in indoor and outdoor spaces. Furthermore, the wayGoo platform can be used for the creation of immersive environments and experiences in conjunction with VR/AR (Virtual and Augmented Reality) technologies. © 2016 SPIE."
s,"Despite the recent popularity of Augmented Reality (AR) technology, no empirical evidence has confirmed that AR is a more effective artifact than the traditional way of product presentations on online retailers. In this study, we investigate the economic impact of AR in terms of product sales, and the volume, valence and linguistic features of product reviews. To build up credible causal evaluation, we design a natural experiment on Amazon and collect product information and consumer reviews for 423 AR-enabled products and 2,346 non-AR products from Amazon iOS app and its website, over a period of 24 weeks. We set up the data analysis with a difference-in-differences estimation. This study aims to contribute to Information System and Marketing literature and provide practical implications for online retailers looking to adopt AR technology. © International Conference on Information Systems 2018, ICIS 2018.All rights reserved."
s,"Virtual reality (VR) technology is starting to become widely and freely available (for example the online OpenSimulator tool), with potential for use in 3D urban planning and design tasks on a correspondingly widespread scale. However, rigorous assessment on usability of such tools is needed to ascertain the likely effect on the profession. A previous study consulted with a small group of urban professionals, who concluded in a satisfaction usability test that online VR had potential value as a usable 3D communication and remote marketing tool but acknowledged that visual quality and geographic accuracy were obstacles to overcome. This research takes the investigation a significant step further to also examine the usability aspects of efficiency (how quickly tasks are completed) and effectiveness (how successfully tasks are completed), relating to OpenSimulator in an urban planning situation. The comparative study pits a three-dimensional VR model (with increased graphic fidelity and geographic content to address the feedback of the previous study) of a subdivision design (in a Dunedin suburb) against 3D models built with GIS (ArcGIS) and CAD (BricsCAD) tools, two types of software environment well established in urban professional practice. Urban professionals participated in the study by attempting to perform timed tasks correctly in each of the environments before being asked questions about the technologies involved and their perceived importance to their professional work. The results reinforce the positive feedback for VR of the previous study, with the graphical and geographic data issues being somewhat addressed (though participants stressed theneed for accurate and precise object and terrain modification capabilities in VR). Ease-of-use and associated fastest task completion speed were significant positive outcomes to emerge from the comparison with GIS and CAD, pointing to a strong future for VR in an urban planning context. © Springer International Publishing Switzerland 2014."
s,"Online gaming continues to grow in popularity enabled by advances in web and mobile technology. Many players around the world enjoy the competitive atmosphere, mental challenges, social interaction and fantasy aspects of the games. However, gaming continues to be perceived as an activity for adolescents and males, which presents problems for companies trying to leverage games for training and marketing because it excludes half of the population - females. To better understand online gaming behavior of men and women we systematically reviewed extant literature on gaming and documented gender differences and similarities in six aspects of gaming: (1) Adoption, (2) Motivation, (3) Social Interaction, (4) Selfpresentation, (5) Skills and Performance, and (6) Play. We find that there are both similarities and differences in gaming choices, motives, play behavior and performance of men and women. Based on our findings, we suggest possible strategies for developers, marketers and educators to achieve gender parity."
s,"Virtual worlds such as Second Life have recently gained increased visibility from businesses seeking to market products ""in-world"" to virtual world participants. However, without understanding the sociological orientation of virtual participants, the effectiveness of marketing approaches in virtual worlds may be limited. This study utilizes a Delphi approach to determine the sociological orientation of a panel of Second Life participants, with the goal of constructing a theoretical model which can be used for testing the effectiveness of various marketing approaches in virtual worlds."
s,"The proceedings contain 222 papers. The special focus in this conference is on Computers in Technical Systems and Intelligent Systems. The topics include: Nanocomposite photonic glasses and confined structures tailoring Er3+ - spectroscopic properties; electromigration in interconnect structures of microelectronic circuits; porous silicon prepared on a thin epitaxial silicon layer; coherent Raman scattering of acoustical vibrations of three-dimensional Ge quantum dot supracrystalls; characterization of cold plasmas for new materials preparation by optical spectroscopy methods; structural properties of Ge nanocrystals embedded in SiO2; sub-100 nm silicon nitride hard-mask for high aspect ratio silicon fins; electrical properties of 4H-SiC based schottky diode; comparison of photo-sensitivity of Si and InP IMPATT diodes at 220 GHz; comparison of 1D and 2D model of quantum effects in the simulation of sub-50 nm double-gate MOSFETs; negative resistance active resistor with improved linearity and frequency response; superior-order curvature-corrected voltage reference with low-voltage low-power operation; interconnect properties and the delay time; modelling of on-chip spiral inductors; time-domain response simulation of multiconductor transmission lines excited by an incident electromagnetic filed; comparison of s-parameters measured using time domain reflectometer and vector network analyzer; stochastic pulse arrival - time pick - off resolution; simulations of symmetrical transverse electromagnetic cell; circuit simulation pogram as support tool in mathematical environment; modeling and simulation of PEM fuel cell - power converter system; educational IGBT power switch module; digital filtering in audio mixing devices; USB audio streaming system with FPGA an example of project-based education in microelectronics; constellation switch influence on position accuracy of low-cost GPS receiver; calculating spatial deformations of reinforced concrete bars using grid systems; a new actor-based structure for distributed systems; AMGA WI - AMGA web interface; GSAF - grid storage access framework; communication speed in computational grids; new algorithms in the grid application SALUTE; easy grid management using lustre technologies; grid security infrastructure based on globus toolkit; analysis and development of algorithms for database query command on the grid; invariant associative image memory based on trace transform and KLT; visualizing non linear implicit functions; web services for business applications; grid based 3D rendering; benchmarking of ICT conferences in Croatia; using data warehouse for telecom marketing support; developing a rich and scalable web application using JSF technology; internet protocol over DWDM; ENUM based number portability in VoIP and IMS networks; opis prometnog modela za paketske usluge u UMTS-u; IP mobility extensions to IPv4 networks for mobility-unaware nodes; seamless MIPv6 handover analysis in IEEE 802.11 networks; performance of packet processing in MPLS Linux-based network; latency improvements in 3g long term evolution; content protection system based on hardened personal computers and full users' rights on protected content; new software development trend in controlling media servers - MSML protocol; radius/LDAP authentication in open-source IP PBX; iskustva u dogradnji PBX centrala sa VoIP funkcionalnostima; mobile streaming - expectations, achievements and challenges; usluge modernog telefoniranja T-HT-a, net phone usluge; service provisioning in telecommunication networks using software agents and rule-based approach; a comparison of congestion management mechanisms in voice over internet protocol (VoIP) networks; IMS i sustav naplate u stvarnom vremenu utemeljen na kvaliteti usluge; LUSCA - test framework for network applications; modern challenges in copper-based access networks design from the aspect of providing wideband services; on testing and measurement tools for control of wireless telecommunication networks; integrating change request generator into customer business environment; fault slip through measurement process implementation in CPP software verification; using six sigma methodology to improve telecommunication software maintenance process; active noise control; generic approach to a computer vision; AGCS - modular, extensible and portable computer memory simulator; small surface defects detection on ceramic tiles using digital holography; parametric system identification using dominant pole location; identification of natural gas cooling process using manual mode of controller operation; linear model of PEM fuel cell power system for controller design purposes; computer based measurement system for temperature sensors manufacturing industry; identification and controller design of the biogas plant laboratory model; integrated mobile electrocardiography; modeling and control of PMSM drive using MRAC with signal adaptation algorithm; safety aspects of users operating with HDD external USB case; state feedback optimal controller design for the rotational electromechanical system; Euclidean Steiner minimal tree in simple polygon; control of emotional characteristics of stimuli in virtual reality based psychotherapy; upravljanje sustavom za pozicioniranje s koracnim motorom; distribuirano inteligentno upravljanje rasvjetnim sustavom vozila i detekcija kvara; vizualna kontrola uporabom mrezne kamere; validation of a test setup for a low-cost color classification device using remission/reflection sensors; improving textile colour matching using fuzzy logic; raspoznavanje glasovnih naredbi za mobilne uredaje; developing factual knowledge from medical data by composing ontology structures; automated reasoning systems and remote databases in distributed information systems; English-to-Slovenian by statistical machine translation; a state of the art techniques in semantic analysis of natural language utterances; PHP scripts generator for remote database maintenance based on C++ generative objects; morphosyntactic annotation of Macedonian language using support vector machines; vision-based recognition of hand shapes in Croatian sign language (CROSLAN); artificial neural network for motion control of a six-legged robot; automatic segmentation of Croatian speech; robust image registration based on features extracted from image of edges; bondmaster - computer software for bond management; discipline-related information behaviour research; utilizing dyknow software and pen-based, wireless computing in teaching introductory modern physics; developing an e-learning application for teaching phraseology in foreign languages; evaluation of students by measuring the complexity of their software product; the initiation of new technologies in Croatian education - options and obstacles; computer literacy; RPG kao sustav neformalne edukacije; implementation of synchronous learning environment; electronic learning as a necessity of modern society; computer assisted study of knitted structures; experience in using non-educational software and LMS in teaching informatics; economic aspects of intellectual property; business informatics curriculum; the teacher's role in moderated online course; ampyx - sustav za online provjeru znanja; E-portfolio of teacher training; mind maps in ICT education; CAD programs at power electrical engineering study program; teachers' new role in E-learning educational process; visual novel project-based multimedia course; play and computer in preschool education; learning object as basis of ecourses; learning by doing - mentoring by a virtual teacher; information technology as a factor of efficiency in entrepreneurial development; using a wiki system for learning activities in a specialist English academic course; user interface model and guidelines to support children's learning by the interactive educational software; pedagogical terms of reference and dilemmas; evaluation of online courses as an element of instructional design; E-learning a modern vision of study; the quality augmentation of labor in the perspective of the knowlledge society; on the use of simulation models in learning about production-stocking process; the impact of technology on the travel industry; E-learning experience in teaching SQL course; the concept of concepts in knowledge transfer and knowledge acquisition focused on computer science topics; flowchart in end-user modeling and programming in spreadsheets interface; a gradual approach to programming; multimedia learning systems and its implementation for the subject advanced it skills; a bilingual interactive multimedia learning system and its implementation in the macromedia flash and XML the subject it skills; a gird-based E-assessment IRT-item bank platform; lifelong learning and doctoral studies - facilitation with podcasting techniques; project retrospectives as an improvement method for the new economy software development; new activities in e-government development in Serbia; uloga informacijskih tehnologija u razvoju oblika prodavaonica; document management system - a case study of varazdin county; a method for materializing service oriented government (SOG); information security management systems as fundamental requirement for business success; the importance of computerized banking systems in bank management; the limiting factor for development of e-business in Monetenegro; knowledge management for e-business performance; using the computer science on knowledge based management and virtual organization; zadar tourist destination on the internet; a universal web application design system - toward making web application coding obsolete; data warehousing in the telecommunications industry."
s,"A solution to cope with chaotic urban settlements and frenetic everyday life is refuging in nature as a way to reduce stress. In general—in recent years—it has been scientifically demonstrated how natural areas are an important environment for psycho-physiological health. As a consequence, it is important to plan dedicated spaces for stress recovery in order to increase the well-being of people. With respect to forests, there is a growing interest in understanding the marketing and tourist potential of forest-therapy activities and policies. This paper develops a decision support system (DSS) for decision makers, based on geographic information system to define the suitability of forest areas to improve psychological and physiological human well-being. Innovative technologies such as electroencephalography (EEG) and virtual reality (VR) are applied to test human status. The DSS combines four sets of indicators in a multi-attribute decision analysis and identifies the areas with the largest stress-recovery potential. Two multi-attribute model—one in summer and one in winter—are elaborated to obtain a dynamic evaluation of suitability. Results show significant differences among forest type, forest management, altitude range, and season in terms of stand suitability. EEG and VR seem to be promising technologies in this research area. Strengths and weaknesses of the approach, as well as potential future improvement and implications for territorial marketing, are suggested. © 2021, The Author(s)."
s,The area of augmented reality in e-commerce has become a reality in some companies and has great potential to spread. This paper focus on providing augmented reality solutions for e-commerce. We show that it is possible to define a strong platform for marketing products and for advertising promotions. Our approach is based on introducing computer vision in a hands-free augmented reality setting. The proposed framework is prepared to operate in two different environments: personal computers and public street marketing places. © 2011 Springer-Verlag.
s,"This chapter attempts to show the conceptual design a Web-based GIS Residential Property Marketing Information System (WGRPMIS). This system is intended to be integrated with the virtual GIS technology enabling the consumer to virtually explore the potential property based upon the multi criteria selection through assisted geo-processing query. The proposed system is built using Adobe Flex on ArcGIS Server framework to enable geo-processing and geometric network capabilities. Through the pilot system, the success of 3D and virtual reality integration was revealed. Due to limitations of the query functions and 3D feature complexity taking its toll on the system’s performance, an improved geoprocessing scheme is presented in this paper and the conceptual design of this system is revised. The improved query function which includes road network and accessibility were taken into consideration in solving buffer and radius query is developed. The revised conceptual design will further be used in designing the simplified 3D visualization viewer to the Virtual panoramic display. © Springer International Publishing Switzerland 2014."
s,"Augmented Reality and Gamification are displaying beneficial effects to enhance user experience and performance in many domains. They are widespread across many areas like education, industrial training, marketing, and services. However, the idea of combining the two approaches for an innovative training instrument is fairly new, especially in assembly training. Moreover, learning about the effects of gamification on human, user engagement, in particular, is a complicated subject. There have been several efforts toward this direction, yet the overall situation is still nascent. In this work, we present a gamified augmented reality training for an industrial task and investigate user engagement effect while training with the gamified and the nongamified system. The result shows that people perform better and engage to a greater degree in the gamified design. © 2019 Polish Information Processing Society - as since."
s,"Retail trading on financial exchanges is always intermediated by banks. Thus, a direct link between exchange and retail investors does not exist. However, financial exchanges offer services to retail investors. Thus, from a marketing perspective, retail investors are their direct customers. Caused by the bank-intermediated transaction chain on financial retail exchanges a direct customer relationship management (CRM) among exchanges and their customers is hardly possible. This circumvents a customer oriented product and pricing policy. Thus banks, as they are nowadays the direct link between exchanges and retail investors, define the market micro structures of the financial exchanges to a large extend. This is true not only for the bank driven whole sale trading but as well for the retail trading. Ongoing developments of new exchange facilities for the retail trading, such as best execution functionalities, downsizing of the odd lots, adoption of trading hours, the emergence of electronic off exchange trading systems etc. show, that there is a need for improved retail trading platforms. To overcome these CRM related problems in the financial exchange industry a joined project between the Berlin Stock Exchange and the Potsdam University was set up to implement a platform for a direct CRM among retail investors and financial exchanges. This project relies on web 2.0 technologies to build up a virtual community where the exchange and retail investors can share information about needs, requirements, and ideas about the market model for a retail trading platform and other relevant trading and settlement facilities. The aim of this contribution is to describe this platform and their advantages for retail investors and for stock exchanges and to provide an outlook of the applicability of web 2.0 technologies in the financial exchange industry. An overview of the implementation and initialization phase of the community will be provided and first results and responses of community members are analysed."
